==============================================================================
STEP 15E — CROSS-ANCESTRY COLOCALIZATION
==============================================================================
Primary comparisons: 538
Powered in both ancestries: 17
Pending caches: 535
Priors: p1=0.0001, p2=0.0001, p12=1e-06, 1e-05, 0.0001
Primary p12: 1e-05
==============================================================================
[393/535] cmp_846fa1abdb2d79e6 | SLC10A2 | CSA
[394/535] cmp_0e8c3789584fc9b2 | THRB | CSA
[395/535] cmp_899b25b2a6459d69 | CSF3 | CSA
[396/535] cmp_a8cdbbc6ae7dad91 | CSF3 | MID
[397/535] cmp_08b22a91172968d8 | CSF3R | CSA
[398/535] cmp_b2879043e48e8130 | CSF3R | MID
[399/535] cmp_559b26c0a60995d9 | CXCR4 | CSA
[400/535] cmp_cb58a62e60526107 | CXCR4 | MID
[401/535] cmp_0348a847d71d7add | FAP | CSA
[402/535] cmp_f42d2adaebb6c058 | FAP | MID
[403/535] cmp_158459a232adb0d0 | ENPP1 | CSA
[404/535] cmp_6567d20daa636164 | ACVR2A | AFR
[405/535] cmp_0b454d4c958fc671 | ACVR2A | CSA
[406/535] cmp_d40a84a9eef512e2 | ACVR2A | EAS
[407/535] cmp_c16a82af11193057 | ALOX12 | AFR
[408/535] cmp_072afd3efbfb83ec | ALOX12 | CSA
[409/535] cmp_e1820ad8923e7ad3 | ALOX12 | EAS
[410/535] cmp_9c6ecc4018fa3eec | FCGRT | AFR
[411/535] cmp_4f56d484694e8ea1 | FCGRT | CSA
[412/535] cmp_fa41e21272bf4085 | FCGRT | EAS
[413/535] cmp_ca7864c98988cae0 | FLT3 | AFR
[414/535] cmp_baa318157ff3ca63 | FLT3 | CSA
[415/535] cmp_3a187d537fd5eaf2 | FLT3 | EAS
[416/535] cmp_41f3b73474196a0b | IFNGR1 | AFR
[417/535] cmp_11b335555ff5ebe1 | IFNGR1 | CSA
